Timestamp,Sensor,X,Y,Z
3692,Accelerometer 1,-9.64974,-2.27514,0.00000
3699,Accelerometer 1,-9.49284,-2.35360,-0.54917
3705,Accelerometer 1,-9.72820,-1.88288,-0.23536
3724,Accelerometer 1,-9.33593,-2.11824,0.00000
3734,Accelerometer 1,-9.72820,-1.96133,0.00000
3741,Accelerometer 1,-9.64974,-2.35360,-0.39227
3751,Accelerometer 1,-9.80665,-2.19669,0.00000
3759,Accelerometer 1,-9.96356,-2.19669,-0.70608
3778,Accelerometer 1,-9.64974,-2.19669,0.00000
3788,Accelerometer 1,-9.88510,-2.35360,0.00000
3795,Accelerometer 1,-9.72820,-1.88288,-0.23536
3803,Accelerometer 1,-9.72820,-1.96133,0.00000
3809,Accelerometer 1,-9.88510,-2.11824,0.00000
3816,Accelerometer 1,-9.72820,-2.27514,-0.54917
3833,Accelerometer 1,-9.49284,-2.11824,-0.39227
3844,Accelerometer 1,-9.88510,-2.19669,-0.23536
3851,Accelerometer 1,-9.72820,-1.96133,-0.23536
3886,Accelerometer 1,-9.72820,-2.03978,0.23536
3897,Accelerometer 1,-9.72820,-1.88288,-0.31381
3904,Accelerometer 1,-9.96356,-2.19669,-0.39227
3911,Accelerometer 1,-9.96356,-2.27514,-0.39227
3917,Accelerometer 1,-9.57129,-1.88288,0.00000
3924,Accelerometer 1,-9.64974,-2.03978,0.07845
3943,Accelerometer 1,-9.72820,-1.80442,0.00000
3952,Accelerometer 1,-9.64974,-2.11824,0.00000
3959,Accelerometer 1,-9.72820,-1.88288,0.00000
3966,Accelerometer 1,-9.80665,-2.11824,0.00000
3977,Accelerometer 1,-9.72820,-2.35360,0.00000
3996,Accelerometer 1,-9.80665,-1.88288,0.00000
4007,Accelerometer 1,-9.72820,-2.03978,-0.39227
4014,Accelerometer 1,-9.57129,-2.27514,0.00000
4021,Accelerometer 1,-9.64974,-2.03978,-0.31381
4028,Accelerometer 1,-9.64974,-2.03978,-0.23536
4045,Accelerometer 1,-9.80665,-2.35360,0.00000
